latitude,longitude,depth,mag
-38.81,175.9,5,3.8
-38.35,176.19,188,null
-38.61,175.94,170,null
-38.6,175.88,5,3
-38.45,175.82,172,null
-38.41,176.21,177,null
-38.72,175.55,247,null
-39.01,176.17,101,null
-38.5,176.02,195,null
-38.56,175.86,148,null
-38.64,176.02,5,2.6
-38.58,176.27,120,null
-38.71,176.01,153,null
-38.412,175.762,218,null
-38.59,175.82,152,null
-38.68,176.31,88,null
-38.53,175.8,154,null
-38.82,175.84,145,null
-38.72,176.15,190,null
-38.42,175.98,217,null
-38.7,175.9,89,null
-38.87,175.79,104,null
-38.71,176.13,103,null
-38.35,175.98,187,null
-38.54,176.38,136,null
-38.58,175.59,190,null
-38.51,175.75,159,null
-38.57,176.17,90,null
-38.5,176.01,169,null
-38.9,175.78,112,null
-38.42,176,207,null
-38.7,176.2,82,null
-38.67,175.87,157,null
-38.62,175.92,184,null
-38.76,176.16,163,null
-38.579,175.652,182.5,null
-38.51,176.51,5,3.1
-38.699,175.803,158.7,6.2
-38.5,176.03,5,3
-38.37,175.81,206,null
-39.03,175.69,198,null
-38.51,176.37,166,null
-38.31,175.96,177,null
-38.78,175.8,170,null
-38.73,175.98,149,null
-38.6,176.22,119,null
-38.62,175.75,162,null
-39.02,175.89,103,null
-38.7,175.8,147,null
-38.86,176.02,104,null
-38.97,176,90,null
-39.04,175.77,114,null
-38.49,175.89,217,null
-38.48,175.86,178,null
-38.59,175.89,162,null
-39.179,176.171,100,null
-38.642,175.761,193.8,null
-38.41,176.449,200,null
-38.643,176.393,150,null
-38.432,176.223,200,null
-38.777,176.166,150,null
-38.312,176.177,169.7,4.4
-38.647,176.071,150,null
-38.849,176.054,5,4.5
-38.442,175.956,200,null
-38.806,175.77,5,4.5
-38.332,176.228,5,4.1
-38.961,176.101,100,null
-38.981,175.792,5,3.9
-38.78,175.955,150,null
-38.874,175.77,150,null
-38.393,176.039,200,null
-38.549,175.694,200,null
-38.8,176.58,150,null
-38.555,176.16,150,null
-38.827,176.283,130,null
-38.684,176.309,150,null
-38.531,175.98,170,null
-38.634,175.89,170,null
-38.634,176.501,150,null
-38.509,175.856,200,null
-38.499,175.753,200,null
-38.698,175.671,158.3,3.6
-38.463,175.802,200,null
-38.375,176.013,200,null
-38.586,175.824,200,null
-38.491,175.791,200,null
-38.828,175.878,150,null
-38.445,175.99,100,4.5
-38.526,175.964,33,null
-38.969,175.779,33,4.5
-38.565,175.808,33,4.7
-38.894,176.254,180.6,4.4
-38.503,175.684,220,null
-38.528,175.73,180,null
-38.493,175.629,213.4,null
-38.36,176.237,190,null
-38.451,175.919,205.9,null
-38.545,175.703,170,null
-38.615,175.717,199.5,null
-38.59,175.898,188.3,4.3
-38.426,176.199,154.1,null
-38.343,175.836,208.5,null
-38.43,175.962,190,null
-38.383,175.984,160,null
-38.623,175.627,180,null
-38.6,175.678,160,null
-38.834,176.067,154.9,null
-38.423,175.864,229.5,null
-39.102,176.223,100,null
-38.617,175.91,140,null
-38.786,175.799,150,null
-38.607,175.67,187.6,null
-38.452,176.155,10.6,4.1
-38.471,176.164,9.4,3.8
-38.648,175.607,190.5,null
-38.808,175.865,120,null
-38.401,175.789,200,null
-38.427,176.291,120,null
-38.434,176.034,160,null
-38.543,175.622,200,null
-38.495,175.719,187.1,null
-38.461,175.897,200.8,null
-38.516,175.673,210.9,null
-38.495,175.76,195.7,null
-38.461,175.821,204.5,null
-38.525,175.797,150,null
-38.566,175.682,200,null
-38.452,175.727,221.2,null
-38.491,175.712,212.1,null
-38.743,175.65,170.2,null
-38.75,175.678,169.2,null
-38.473,175.758,200,null
-38.448,176.001,120,null
-38.44,175.948,150,null
-38.357,175.933,217.3,null
-38.385,175.929,213,null
-38.338,175.935,203.4,null
-38.542,175.759,199.7,3.7
-38.467,175.63,160,null
-38.526,176.095,164.1,null
-38.519,175.612,194.6,null
-39.015,176.036,119.5,null
-38.573,176.106,190,null
-38.461,175.727,220.3,null
-38.631,175.615,170,null
-38.433,176.092,160,null
-38.554,175.569,208.7,2.5
-38.77,175.779,154.3,null
-38.345,175.827,228.3,null
-38.632,175.623,181.7,4.5
-38.832,175.92,123,null
-38.36,175.868,189.4,null
-38.401,175.849,210.7,null
-38.587,175.723,208.1,null
-38.471,175.75,203.2,null
-38.576,175.572,192.6,null
-38.558,175.843,174.4,4.5
-38.694,175.657,176.1,null
-38.887,175.854,146.7,3.7
-38.407,176.178,176.8,null
-38.39,176.005,200.1,null
-38.901,176.113,133.5,null
-38.58,175.7,193.8,null
-38.679,175.604,193.2,null
-38.42,175.798,216.3,null
-38.479,175.795,201.2,null
-38.861,175.778,142.2,null
-38.38,175.808,229.6,3.5
-38.666,175.556,188.9,null
-38.546,175.679,190.1,null
-38.884,176.352,107,null
-38.303,176.195,192.8,null
-38.925,175.558,154.5,3.5
-38.634,175.553,201.5,null
-39.008,176.154,97.4,4.6
-38.299,176.036,212.6,null
-38.501,176.439,172.6,null
-38.433,175.773,213.2,null
-38.415,176.066,33,4.1
-38.44,175.789,191.5,null
-38.394,176.024,150,null
-38.434,175.937,206.2,null
-38.696,175.752,173.8,null
-38.354,176.008,150,null
-38.515,175.882,194.1,null
-38.512,176.201,169,null
-38.522,175.936,180.8,null
-38.407,175.696,221,null
-38.573,176.094,130,null
-38.494,176.135,130,null
-38.595,175.662,204.8,null
-38.798,175.74,156.9,4.8
-38.331,176.069,181.7,null
-38.342,176.008,201.1,null
-38.419,175.959,200.1,null
-38.777,175.808,135.2,null
-38.464,175.691,259.9,null
-38.601,175.879,187.2,null
-38.642,175.514,205.5,null
-38.39,175.928,207.5,null
-38.557,175.642,201.8,null
-38.383,175.798,229.4,null
-38.573,175.733,203.5,null
-38.782,175.823,176.6,null
-38.49,175.762,203.6,null
-38.614,175.723,189.5,null
-38.544,175.695,200.1,null
-38.419,175.837,203.3,null
-39.001,175.743,10,3.4
-38.361,175.885,212.5,null
-38.449,175.754,224.8,null
-38.562,175.616,219.9,null
-38.618,175.848,187.3,null
-39.064,176.272,61.3,null
-38.476,176.212,162.9,null
-38.391,176.154,177.4,4.8
-38.823,175.688,139.3,4.5
-38.361,176.244,171.1,4.2
-38.821,175.902,33,null
-38.653,175.679,165.5,null
-38.602,175.796,33,null
-39.161,176.06,10,null
-38.52,176.024,33,null
-38.919,175.769,77.4,null
-38.594,175.732,165.1,5.1
-38.749,175.634,144.9,5.1
-38.363,175.865,168.6,4.9
-38.475,175.842,190.5,4.5
-38.705,175.717,136.2,5.3
-38.802,175.993,110.9,null
-38.87,176.32,23.9,5
-38.946,175.888,104.1,4.5
-38.724,175.623,149,5.3
-38.47,175.901,209,4.9
-39,175.799,110,5.6
-38.942,176.192,77,null
-38.529,175.696,170,null
